GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inline-maven-plugin,org.basepom.inline.mojo,ScopeLimitingFilter,144,0,19,0,34,0,22,0,7,0
inline-maven-plugin,org.basepom.inline.mojo,PomUtil,0,154,3,7,0,32,3,5,0,3
inline-maven-plugin,org.basepom.inline.mojo,InlineMojo,644,0,40,0,133,0,40,0,20,0
inline-maven-plugin,org.basepom.inline.mojo,ScopeLimitingFilter.Scope,33,0,0,0,2,0,1,0,1,0
inline-maven-plugin,org.basepom.inline.mojo,DependencyBuilder,260,0,14,0,59,0,16,0,9,0
inline-maven-plugin,org.basepom.inline.mojo,PluginLog,215,0,2,0,56,0,11,0,10,0
inline-maven-plugin,org.basepom.inline.mojo,DependencyBuilder.ProjectKey,110,0,12,0,20,0,11,0,5,0
inline-maven-plugin,org.basepom.inline.mojo,InlineDependency,117,0,12,0,24,0,18,0,12,0
inline-maven-plugin,org.basepom.inline.mojo,HelpMojo,763,0,108,0,153,0,70,0,16,0
